Transaction ID,Milk,Bread,Butter,Beer,Diapers,Eggs
0,0,1,1,0,1,1
1,1,1,1,1,1,0
2,0,1,0,0,0,0
3,0,1,0,1,1,0
4,0,1,1,1,1,0
5,1,0,1,0,1,1
6,0,1,1,0,0,1
7,0,1,1,1,1,1
8,0,1,0,1,1,1
9,1,0,1,0,0,1
10,1,0,1,0,1,0
11,0,0,0,0,1,1
12,0,0,0,1,1,0
13,1,0,0,1,0,1
14,1,1,1,1,1,0
15,1,1,0,0,1,0
16,0,1,1,0,1,0
17,0,1,0,0,0,1
18,1,0,1,0,0,0
19,0,0,1,0,1,0
20,1,1,1,1,1,0
21,1,1,1,1,0,1
22,1,0,0,1,0,0
23,0,0,1,1,0,0
24,1,0,1,1,1,1
25,0,0,0,1,0,1
26,1,1,0,1,0,0
27,1,0,1,1,0,0
28,1,0,1,0,1,0
29,1,0,1,0,0,0
30,1,0,1,0,1,0
31,0,0,0,0,1,0
32,0,1,0,0,0,1
33,0,0,1,0,1,0
34,0,1,1,0,0,0
35,1,1,0,0,0,0
36,0,1,0,1,0,0
37,0,1,1,1,0,0
38,1,1,1,1,0,0
39,0,1,1,0,1,0
40,0,1,0,1,1,1
41,1,0,0,0,1,1
42,1,0,1,1,1,1
43,0,0,1,1,0,0
44,0,1,1,0,1,1
45,1,1,1,0,0,0
46,1,0,1,0,1,1
47,0,0,0,1,0,0
48,1,1,1,1,0,1
49,0,0,0,0,1,1
50,1,0,1,0,0,1
51,1,1,1,1,1,0
52,0,1,1,1,1,1
53,1,1,1,1,1,0
54,0,0,0,1,1,1
55,0,1,1,1,1,1
56,1,1,0,0,0,0
57,1,1,0,1,0,0
58,1,0,1,0,1,0
59,0,0,0,1,1,1
60,0,1,0,1,0,0
61,0,0,1,1,1,0
62,1,0,0,1,1,1
63,0,1,1,0,1,0
64,1,1,0,0,1,1
65,0,1,1,1,1,1
66,1,0,0,1,0,1
67,0,0,1,1,1,1
68,1,0,1,1,1,0
69,0,1,1,0,1,1
70,1,0,0,0,1,0
71,0,0,0,0,0,1
72,1,1,0,0,1,1
73,1,0,1,0,1,0
74,1,1,1,0,1,0
75,0,1,0,1,0,0
76,1,0,0,0,0,0
77,0,0,0,0,1,0
78,1,1,0,1,1,1
79,0,0,1,1,1,1
80,0,1,0,1,0,0
81,0,0,1,1,1,1
82,1,0,1,0,1,0
83,1,0,1,1,0,0
84,0,1,1,1,0,0
85,1,0,0,1,0,0
86,0,1,0,1,0,1
87,0,1,1,0,0,1
88,0,1,0,1,0,0
89,0,0,1,1,0,1
90,0,1,1,0,1,0
91,0,0,0,0,1,1
92,0,0,0,0,1,1
93,0,0,1,0,1,1
94,1,1,1,1,1,1
95,1,1,1,0,0,1
96,1,1,1,0,0,1
97,0,0,1,0,1,0
98,1,0,0,1,0,0
99,0,0,0,1,0,1
100,0,0,1,1,1,1
101,0,0,1,0,1,1
102,1,1,0,0,1,0
103,0,1,1,1,0,0
104,0,1,1,0,1,0
105,0,0,1,1,0,1
106,0,1,0,0,1,0
107,0,0,0,0,1,1
108,1,1,1,1,1,1
109,0,0,0,0,1,1
110,1,1,0,1,0,0
111,1,1,1,0,1,1
112,1,0,1,1,1,1
113,1,0,0,1,0,0
114,0,1,0,1,0,1
115,0,1,1,0,1,0
116,0,0,1,0,1,0
117,1,1,0,1,1,0
118,1,1,1,1,1,0
119,0,1,1,1,1,0
120,1,0,0,1,0,1
121,0,1,1,0,1,1
122,0,1,0,0,0,0
123,1,0,0,1,0,0
124,0,1,0,1,0,0
125,0,0,1,1,1,0
126,0,1,1,0,1,1
127,0,1,1,0,1,0
128,1,1,0,0,0,0
129,1,1,0,0,1,1
130,0,0,0,1,0,1
131,0,0,1,0,0,0
132,1,1,0,0,0,1
133,0,0,1,0,1,0
134,0,1,1,0,0,1
135,1,1,0,0,0,0
136,0,1,0,0,0,0
137,0,1,1,1,1,1
138,0,0,1,1,1,1
139,1,1,1,1,0,0
140,0,1,1,1,1,0
141,0,1,0,1,1,1
142,1,1,0,0,0,0
